idx	imgs	err1	err2	res1	res2
331	15-4##15-13	-1	0	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 1, 'label': 0}	{'org_sentence': 'Both pictures focus on the trunk of the birch tree, not the leaves.', 'sentence': 'Left part scenario:a forest ,right part scenario: a forest. Therefore, the sentence is right or wrong: Both pictures focus on the trunk of the birch tree, not the leaves.', 'prediction': 0, 'label': 0}
334	24-1##24-5	1	0	{'org_sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'sentence': 'Left part scenario:asian ,right part scenario: a wooden table. Therefore, the sentence is right or wrong: The pakchoi on the left has been cooked into a plate, while the one on the right has not been cooked.', 'prediction': 1, 'label': 1}
338	10-8##10-9	1	0	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'sentence': 'Left part scenario:a watering hole ,right part scenario: a pond. Therefore, the sentence is right or wrong: The picture on the right has exactly one cow, and the picture on the left has more than one cow and is light-colored.', 'prediction': 1, 'label': 1}
344	19-18##19-2	-1	0	{'org_sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'prediction': 1, 'label': 0}	{'org_sentence': 'In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'sentence': 'Left part scenario:a floral arrangement ,right part scenario: a vase. Therefore, the sentence is right or wrong: In the picture on the right, there is only one rosy orchid in bloom, and in the picture on the left there are several blooming orchids.', 'prediction': 0, 'label': 0}
357	6-26##6-8	1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:a shark in the ocean ,right part scenario: koi fish in a pond. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 1}
358	6-38##6-3	1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:fish ,right part scenario: koi fish in a pond. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 1}
359	6-27##6-24	-1	0	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'sentence': 'Left part scenario:shark ,right part scenario: fishing. Therefore, the sentence is right or wrong: The picture on the left has only one obvious fish, and the picture on the right has many fish that are only swimming.', 'prediction': 0, 'label': 0}
361	8-1##8-11	-1	0	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'sentence': 'Left part scenario:dog ,right part scenario: dog running in the snow. Therefore, the sentence is right or wrong: The picture on the left has exactly one dog, and the picture on the right has exactly two.', 'prediction': 0, 'label': 0}
371	36-7##36-13	-1	0	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are obvious and complete roses in one picture, but not in the other picture.', 'sentence': "Left part scenario:a valentine's day ,right part scenario: a temple. Therefore, the sentence is right or wrong: There are obvious and complete roses in one picture, but not in the other picture.", 'prediction': 0, 'label': 0}
374	61-8##61-12	-1	0	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'sentence': 'Left part scenario:a person holding a cup of bubble tea ,right part scenario: a drink and newspaper on a wooden board. Therefore, the sentence is right or wrong: The milk tea in both pictures has pearls added, and the picture on the left happens to have only one cup.', 'prediction': 0, 'label': 0}
379	44-2##44-1	-1	0	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There are women wearing cheongsam in both pictures, and there are at least three.', 'sentence': 'Left part scenario:walking ,right part scenario: walking down the street. Therefore, the sentence is right or wrong: There are women wearing cheongsam in both pictures, and there are at least three.', 'prediction': 0, 'label': 0}
404	23-3##23-11	1	0	{'org_sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'prediction': 0, 'label': 1}	{'org_sentence': 'In both pictures, you can see the whole potato, which has not been shredded or cooked.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: bitten into a potato. Therefore, the sentence is right or wrong: In the picture on the right, besides the potatoes, there is a peeler, and on the left, there are several potatoes that have not been peeled.', 'prediction': 1, 'label': 1}
