idx	imgs	err1	err2	res1	res2
41	63-2##63-3	1	0	{'org_sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'sentence': 'Left part scenario:market ,right part scenario: a grocery store. Therefore, the sentence is right or wrong: The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'prediction': 1, 'label': 1}
42	63-4##63-5	1	0	{'org_sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left contains lychees and adults, and the picture on the right shows lychees and price tags.', 'sentence': 'Left part scenario:market ,right part scenario: market. Therefore, the sentence is right or wrong: The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'prediction': 1, 'label': 1}
46	86-5##86-11	-1	0	{'org_sentence': 'One picture has several different colors of chalk, and the other picture shows the teacher teaching a lesson with chalk on the blackboard.', 'sentence': 'One picture has several different colors of chalk, and the other picture shows the teacher teaching a lesson with chalk on the blackboard.', 'prediction': 1, 'label': 0}	{'org_sentence': 'One picture has several different colors of chalk, and the other picture shows the teacher teaching a lesson with chalk on the blackboard.', 'sentence': 'Left part scenario:school ,right part scenario: window sill. Therefore, the sentence is right or wrong: One picture has several different colors of chalk, and the other picture shows the teacher teaching a lesson with chalk on the blackboard.', 'prediction': 0, 'label': 0}
57	90-8##90-11	-1	0	{'org_sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'sentence': "Left part scenario:3 girls making valentine's day gifts ,right part scenario: chinese new year. Therefore, the sentence is right or wrong: The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.", 'prediction': 0, 'label': 0}
58	90-2##90-10	0	1	{'org_sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'sentence': 'Left part scenario:a painting ,right part scenario: city. Therefore, the sentence is right or wrong: The picture on the left has a paper cut that is hung, and the picture on the right has a red paper cut.', 'prediction': 0, 'label': 1}
69	85-6##85-13	-1	0	{'org_sentence': 'Both pictures contain a hand and a ball pen, and there is writing in the picture on the right.', 'sentence': 'Both pictures contain a hand and a ball pen, and there is writing in the picture on the right.', 'prediction': 1, 'label': 0}	{'org_sentence': 'Both pictures contain a hand and a ball pen, and there is writing in the picture on the right.', 'sentence': 'Left part scenario:a group of blue urns ,right part scenario: a hand holding a pen. Therefore, the sentence is right or wrong: Both pictures contain a hand and a ball pen, and there is writing in the picture on the right.', 'prediction': 0, 'label': 0}
73	65-6##65-7	0	1	{'org_sentence': 'Both pictures contain cantaloupes that have been cut open.', 'sentence': 'Both pictures contain cantaloupes that have been cut open.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures contain cantaloupes that have been cut open.', 'sentence': 'Left part scenario:melon ,right part scenario: smoothie. Therefore, the sentence is right or wrong: Both pictures contain cantaloupes that have been cut open.', 'prediction': 0, 'label': 1}
75	65-10##65-5	0	1	{'org_sentence': 'Both pictures contain cantaloupes that have been cut open.', 'sentence': 'Both pictures contain cantaloupes that have been cut open.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures contain cantaloupes that have been cut open.', 'sentence': 'Left part scenario:close up of a person holding a half of a cantaloupe ,right part scenario: a bowl of melon with a swan on top. Therefore, the sentence is right or wrong: Both pictures contain cantaloupes that have been cut open.', 'prediction': 0, 'label': 1}
83	67-9##67-16	1	0	{'org_sentence': 'One picture has a lot of people outside the toilet, and the other one does not.', 'sentence': 'One picture has a lot of people outside the toilet, and the other one does not.', 'prediction': 0, 'label': 1}	{'org_sentence': 'One picture has a lot of people outside the toilet, and the other one does not.', 'sentence': "Left part scenario:standing in a line ,right part scenario: men's bathroom. Therefore, the sentence is right or wrong: One picture has a lot of people outside the toilet, and the other one does not.", 'prediction': 1, 'label': 1}
90	94-15##94-7	0	-1	{'org_sentence': 'Both pictures are photos of the interior of the church.', 'sentence': 'Both pictures are photos of the interior of the church.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures are photos of the interior of the church.', 'sentence': 'Left part scenario:a street in front of a church ,right part scenario: a meeting. Therefore, the sentence is right or wrong: Both pictures are photos of the interior of the church.', 'prediction': 1, 'label': 0}
95	77-7##77-1	1	0	{'org_sentence': 'Both pictures contain rakes, and there are no people or feet at all.', 'sentence': 'Both pictures contain rakes, and there are no people or feet at all.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures contain rakes, and there are no people or feet at all.', 'sentence': 'Left part scenario:yard ,right part scenario: gardening. Therefore, the sentence is right or wrong: Both pictures contain rakes, and there are no people or feet at all.', 'prediction': 1, 'label': 1}
99	80-6##80-10	1	0	{'org_sentence': 'There is at least one sickle in both pictures, and the sickle in one picture is placed on a backpack or on the grass.', 'sentence': 'There is at least one sickle in both pictures, and the sickle in one picture is placed on a backpack or on the grass.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is at least one sickle in both pictures, and the sickle in one picture is placed on a backpack or on the grass.', 'sentence': 'Left part scenario:museum ,right part scenario: a pickle on a grassy lawn. Therefore, the sentence is right or wrong: There is at least one sickle in both pictures, and the sickle in one picture is placed on a backpack or on the grass.', 'prediction': 1, 'label': 1}
106	74-2##74-7	0	-1	{'org_sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'sentence': 'Left part scenario:a flooded village ,right part scenario: a dilapidated housing project. Therefore, the sentence is right or wrong: There are stilts in both pictures, and the left picture contains a red lantern pendant.', 'prediction': 1, 'label': 0}
107	74-12##74-6	1	0	{'org_sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'sentence': 'Left part scenario:an old chinese village ,right part scenario: a medieval city. Therefore, the sentence is right or wrong: Both pictures contain stilts, and there are boats traveling on the water or parasols inserted on the stilts in the right picture.', 'prediction': 1, 'label': 1}
113	79-5##79-9	0	-1	{'org_sentence': 'The poles in both pictures are in use, and the cargo is lifted and hung in the air.', 'sentence': 'The poles in both pictures are in use, and the cargo is lifted and hung in the air.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The poles in both pictures are in use, and the cargo is lifted and hung in the air.', 'sentence': 'Left part scenario:a market ,right part scenario: street. Therefore, the sentence is right or wrong: The picture on the right happens to have only one person carrying a stick, and there are several people with a stick in the picture on the left.', 'prediction': 1, 'label': 0}
117	92-5##92-18	0	-1	{'org_sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'sentence': 'Left part scenario:a chinese temple ,right part scenario: spiral. Therefore, the sentence is right or wrong: Both pictures show people wearing Taoist-related costumes or props.', 'prediction': 1, 'label': 0}
120	92-14##92-12	1	0	{'org_sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures show people wearing Taoist-related costumes or props.', 'sentence': 'Left part scenario:cave ,right part scenario: buffet spread. Therefore, the sentence is right or wrong: Both pictures show people wearing Taoist-related costumes or props.', 'prediction': 1, 'label': 1}
121	73-13##73-18	1	0	{'org_sentence': 'There are Fujian Tulou in both photos, and the one on the left is the round roof.', 'sentence': 'There are Fujian Tulou in both photos, and the one on the left is the round roof.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There are Fujian Tulou in both photos, and the one on the left is the round roof.', 'sentence': 'Left part scenario:a stadium ,right part scenario: a village in the mountains. Therefore, the sentence is right or wrong: There are Fujian Tulou in both photos, and the one on the left is the round roof.', 'prediction': 1, 'label': 1}
125	68-5##68-4	0	-1	{'org_sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'sentence': 'Left part scenario:family ,right part scenario: cooking. Therefore, the sentence is right or wrong: There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'prediction': 1, 'label': 0}
128	68-2##68-7	1	0	{'org_sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'sentence': 'Left part scenario:a kitchen ,right part scenario: a kitchen. Therefore, the sentence is right or wrong: There is no one in the kitchen on the left, and there are people in the kitchen on the right.', 'prediction': 1, 'label': 1}
141	91-8##91-4	-1	0	{'org_sentence': 'The picture on the right happens to have a child and calligraphy, and the picture on the left is a person writing calligraphy.', 'sentence': 'The picture on the right happens to have a child and calligraphy, and the picture on the left is a person writing calligraphy.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the right happens to have a child and calligraphy, and the picture on the left is a person writing calligraphy.', 'sentence': 'Left part scenario:writing ,right part scenario: chinese calligraphy. Therefore, the sentence is right or wrong: The picture on the right happens to have a child and calligraphy, and the picture on the left is a person writing calligraphy.', 'prediction': 0, 'label': 0}
149	93-4##93-8	0	1	{'org_sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'sentence': 'Left part scenario:sitting ,right part scenario: walking. Therefore, the sentence is right or wrong: There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'prediction': 0, 'label': 1}
151	93-12##93-10	0	-1	{'org_sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'sentence': 'Left part scenario:karate ,right part scenario: walkway. Therefore, the sentence is right or wrong: There is a statue of Buddha in the picture on the left, and people in Buddhist costumes on the right.', 'prediction': 1, 'label': 0}
153	84-10##84-1	-1	0	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'Left part scenario:a dining room ,right part scenario: pen. Therefore, the sentence is right or wrong: There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 0, 'label': 0}
154	84-3##84-11	0	1	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 1, 'label': 1}	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'Left part scenario:japanese calligraphy ,right part scenario: a closet. Therefore, the sentence is right or wrong: There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 0, 'label': 1}
156	84-7##84-6	-1	0	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 1, 'label': 0}	{'org_sentence': 'There is only one brush in the picture on the left, and a few in the picture on the right.', 'sentence': 'Left part scenario:a bathroom sink ,right part scenario: chinese calligraphy. Therefore, the sentence is right or wrong: There is only one brush in the picture on the left, and a few in the picture on the right.', 'prediction': 0, 'label': 0}
159	89-8##89-4	-1	0	{'org_sentence': 'The picture on the left is not a black and white photo, and the picture on the right shows the audience watching the shadow puppet show.', 'sentence': 'The picture on the left is not a black and white photo, and the picture on the right shows the audience watching the shadow puppet show.', 'prediction': 1, 'label': 0}	{'org_sentence': 'The picture on the left is not a black and white photo, and the picture on the right shows the audience watching the shadow puppet show.', 'sentence': 'Left part scenario:a picture of an old man sitting on the floor ,right part scenario: dead. Therefore, the sentence is right or wrong: The picture on the left is not a black and white photo, and the picture on the right shows the audience watching the shadow puppet show.', 'prediction': 0, 'label': 0}
167	75-5##75-12	1	0	{'org_sentence': 'Both pictures contain villas, but no cars or people.', 'sentence': 'Both pictures contain villas, but no cars or people.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures contain villas, but no cars or people.', 'sentence': 'Left part scenario:house ,right part scenario: house. Therefore, the sentence is right or wrong: Both pictures contain villas, but no cars or people.', 'prediction': 1, 'label': 1}
168	75-9##75-7	0	-1	{'org_sentence': 'Both pictures contain villas, but no cars or people.', 'sentence': 'Both pictures contain villas, but no cars or people.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures contain villas, but no cars or people.', 'sentence': 'Left part scenario:the house is falling down ,right part scenario: a house with a car parked in front of it. Therefore, the sentence is right or wrong: Both pictures contain villas, but no cars or people.', 'prediction': 1, 'label': 0}
169	72-6##72-10	1	0	{'org_sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'sentence': 'Left part scenario:a chinese courtyard ,right part scenario: a street scene made of lego. Therefore, the sentence is right or wrong: Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'prediction': 1, 'label': 1}
172	72-4##72-9	0	-1	{'org_sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'sentence': 'Left part scenario:old ,right part scenario: a chinese courtyard. Therefore, the sentence is right or wrong: Both pictures have the view of a courtyard house, and one of them is a bird&#39;s-eye view from top to bottom.', 'prediction': 1, 'label': 0}
173	63-8##63-7	0	1	{'org_sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'sentence': 'Left part scenario:sitting ,right part scenario: shopping. Therefore, the sentence is right or wrong: The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'prediction': 0, 'label': 1}
176	63-9##63-3	0	1	{'org_sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'prediction': 1, 'label': 1}	{'org_sentence': 'The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'sentence': 'Left part scenario:eating ,right part scenario: a grocery store. Therefore, the sentence is right or wrong: The picture on the left happened to have a child eating lychees, and the picture on the right was selling lychees in a store.', 'prediction': 0, 'label': 1}
185	70-3##70-13	0	-1	{'org_sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'prediction': 0, 'label': 0}	{'org_sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'sentence': 'Left part scenario:living room ,right part scenario: family. Therefore, the sentence is right or wrong: There is no one in the living room on the left, and someone is watching TV on the right.', 'prediction': 1, 'label': 0}
186	70-11##70-9	1	0	{'org_sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no one in the living room on the left, and someone is watching TV on the right.', 'sentence': 'Left part scenario:a living room ,right part scenario: family. Therefore, the sentence is right or wrong: There is no one in the living room on the left, and someone is watching TV on the right.', 'prediction': 1, 'label': 1}
190	90-4##90-11	1	0	{'org_sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'prediction': 0, 'label': 1}	{'org_sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'sentence': 'Left part scenario:a child holding up a picture ,right part scenario: chinese new year. Therefore, the sentence is right or wrong: The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'prediction': 1, 'label': 1}
192	90-9##90-7	0	-1	{'org_sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'prediction': 0, 'label': 0}	{'org_sentence': 'The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'sentence': 'Left part scenario:a barbed wire fence ,right part scenario: christmas. Therefore, the sentence is right or wrong: The picture on the left shows people and paper-cuts, and the picture on the right contains paper-cuts with the word Spring.', 'prediction': 1, 'label': 0}
193	64-11##64-1	0	-1	{'org_sentence': 'Both pictures contain hawthorn related foods, but there is no one at all.', 'sentence': 'Both pictures contain hawthorn related foods, but there is no one at all.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures contain hawthorn related foods, but there is no one at all.', 'sentence': 'Left part scenario:tomatoes ,right part scenario: sitting on a table. Therefore, the sentence is right or wrong: Both pictures contain hawthorn related foods, but there is no one at all.', 'prediction': 1, 'label': 0}
208	65-9##65-2	1	0	{'org_sentence': 'Both pictures show cantaloupes that are intact and uncut.', 'sentence': 'Both pictures show cantaloupes that are intact and uncut.', 'prediction': 0, 'label': 1}	{'org_sentence': 'Both pictures show cantaloupes that are intact and uncut.', 'sentence': 'Left part scenario:farm ,right part scenario: farmer holding two cantaloupe. Therefore, the sentence is right or wrong: Both pictures show cantaloupes that are intact and uncut.', 'prediction': 1, 'label': 1}
210	71-4##71-1	1	0	{'org_sentence': 'There is no one in the dining room in both pictures.', 'sentence': 'There is no one in the dining room in both pictures.', 'prediction': 0, 'label': 1}	{'org_sentence': 'There is no one in the dining room in both pictures.', 'sentence': 'Left part scenario:a formal dinner ,right part scenario: dining room. Therefore, the sentence is right or wrong: There is no one in the dining room in both pictures.', 'prediction': 1, 'label': 1}
214	67-1##67-4	0	-1	{'org_sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'prediction': 0, 'label': 0}	{'org_sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'sentence': 'Left part scenario:a bathroom ,right part scenario: a public restroom. Therefore, the sentence is right or wrong: Both pictures are related to the toilet, and there are children in the picture on the right.', 'prediction': 1, 'label': 0}
215	67-6##67-9	0	1	{'org_sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures are related to the toilet, and there are children in the picture on the right.', 'sentence': 'Left part scenario:waiting ,right part scenario: standing in a line. Therefore, the sentence is right or wrong: Both pictures are related to the toilet, and there are children in the picture on the right.', 'prediction': 0, 'label': 1}
219	66-2##66-8	0	1	{'org_sentence': 'Both pictures contain longan, and there are people in the picture on the right.', 'sentence': 'Both pictures contain longan, and there are people in the picture on the right.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures contain longan, and there are people in the picture on the right.', 'sentence': 'Left part scenario:asian ,right part scenario: in a grove of trees. Therefore, the sentence is right or wrong: Both pictures contain longan, and there are people in the picture on the right.', 'prediction': 0, 'label': 1}
224	94-9##94-15	-1	0	{'org_sentence': 'Both pictures are photos of the interior of a Christian church.', 'sentence': 'Both pictures are photos of the interior of a Christian church.', 'prediction': 1, 'label': 0}	{'org_sentence': 'Both pictures are photos of the interior of a Christian church.', 'sentence': 'Left part scenario:church ,right part scenario: a street in front of a church. Therefore, the sentence is right or wrong: Both pictures are photos of the interior of a Christian church.', 'prediction': 0, 'label': 0}
225	77-3##77-11	0	1	{'org_sentence': 'Both pictures contain rake, and both pictures are completely empty.', 'sentence': 'Both pictures contain rake, and both pictures are completely empty.', 'prediction': 1, 'label': 1}	{'org_sentence': 'Both pictures contain rake, and both pictures are completely empty.', 'sentence': 'Left part scenario:a farm ,right part scenario: a street. Therefore, the sentence is right or wrong: Both pictures contain rake, and both pictures are completely empty.', 'prediction': 0, 'label': 1}
